년월,HEAT_NO,LOT_NO,공정코드,구분,공장명,주조구분,재료코드,강종그룹,강종코드,투입중량,생산중량,사내강종명,사내강종명(제강),구)사내강종명,품목,형상,용도,표면,열처리,외경,폭,내경,수요가명,수주번호,수주행번,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,발행구분,CAST내 수,CAST내 순,STRAND_NO,STRAND_SEQ,주조완료일,주여구분,지시GR종류,생산GR종류,생산GR공정,제강검사완료일,작업일,강관소재여부,주설비구분
202303,S52717,B310559900,9Y01,압연,산세,T,7730,SSH,SSH034,"1,599","1,350",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,7.5,7.5,0,만호제강(주)창원공장,D2023020121,002,8100,2023-03-16,7.5,0,,,0,0,,,0,0,,,0,0,8100,2023-03-16,1,2,1,,,2023-01-02,1,A,A,8301,2023-01-04,2023-04-13,N,W
202304,S53406,B320669508,9Y01,압연,산세,T,7730,SSH,SSH034,"1,604","1,420",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,8.5,8.5,0,주식회사 티플랙스,D2023040215,001,8100,2023-04-12,8.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-12,1,4,3,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-13,N,W
202304,S53406,B320669507,9Y01,압연,산세,T,7730,SSH,SSH034,"1,587","1,170",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,8.5,8.5,0,주식회사 티플랙스,D2023040215,001,8100,2023-04-12,8.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-12,1,4,3,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-13,N,W
202304,S53406,B320669505,9Y01,압연,산세,T,7730,SSH,SSH034,"1,595","1,435",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,8.5,8.5,0,주식회사 티플랙스,D2023040215,001,8100,2023-04-12,8.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-12,1,4,3,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-13,N,W
202304,S53406,B320669504,9Y01,압연,산세,T,7730,SSH,SSH034,"1,618","1,449",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,8.5,8.5,0,주식회사 티플랙스,D2023040215,001,8100,2023-04-12,8.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-12,1,4,3,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-13,N,W
202304,S53406,B320669503,9Y01,압연,산세,T,7730,SSH,SSH034,"1,602","1,454",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,8.5,8.5,0,주식회사 티플랙스,D2023040215,001,8100,2023-04-12,8.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-12,1,4,3,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-13,N,W
202304,S53406,B320669502,9Y01,압연,산세,T,7730,SSH,SSH034,"1,598","1,447",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,8.5,8.5,0,주식회사 티플랙스,D2023040215,001,8100,2023-04-12,8.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-12,1,4,3,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-13,N,W
202304,S53406,B320669501,9Y01,압연,산세,T,7730,SSH,SSH034,"1,593","1,444",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,8.5,8.5,0,주식회사 티플랙스,D2023040215,001,8100,2023-04-12,8.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-12,1,4,3,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-13,N,W
202304,S53406,B320669500,9Y01,압연,산세,T,7730,SSH,SSH034,"1,600","1,439",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,8.5,8.5,0,주식회사 티플랙스,D2023040215,001,8100,2023-04-12,8.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-12,1,4,3,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-13,N,W
202304,S53406,B320669600,9Y01,압연,산세,T,7730,SSH,SSH034,"1,599","1,394",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,7.5,7.5,0,(주)세아메탈,D2023040204,035,8100,2023-04-12,7.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-12,1,4,3,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-15,N,W
202304,S53406,B320669901,9Y01,압연,산세,T,7730,SSH,SSH034,"1,598","1,415",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,9.5,9.5,0,(주)세아메탈,D2023040204,037,8100,2023-04-13,9.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-13,1,4,3,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-15,N,W
202304,S53406,B320669900,9Y01,압연,산세,T,7730,SSH,SSH034,"1,600","1,443",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,9.5,9.5,0,(주)세아메탈,D2023040204,037,8100,2023-04-13,9.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-13,1,4,3,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-15,N,W
202304,S53080,B310651301,9Y01,압연,산세,T,7730,SSH,SSH034,"1,599","1,342",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,9.5,9.5,0,(주)세아메탈,D2023030131,049,8100,2023-04-13,9.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-13,1,2,1,,,2023-01-31,1,A,A,8301,2023-02-01,2023-04-15,N,W
202304,S53406,B320669801,9Y01,압연,산세,T,7730,SSH,SSH034,"1,627","1,416",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,9.5,9.5,0,(주)세아메탈,D2023030131,049,8100,2023-04-13,9.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-13,1,4,3,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-15,N,W
202304,S53080,B310651308,9Y01,압연,산세,T,7730,SSH,SSH034,"1,608","1,337",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,9.5,9.5,0,(주)세아메탈,D2023030131,049,8100,2023-04-13,9.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-13,1,2,1,,,2023-01-31,1,A,A,8301,2023-02-01,2023-04-15,N,W
202304,S53080,B310651307,9Y01,압연,산세,T,7730,SSH,SSH034,"1,596","1,354",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,9.5,9.5,0,(주)세아메탈,D2023030131,049,8100,2023-04-13,9.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-13,1,2,1,,,2023-01-31,1,A,A,8301,2023-02-01,2023-04-15,N,W
202304,S53080,B310651306,9Y01,압연,산세,T,7730,SSH,SSH034,"1,593","1,340",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,9.5,9.5,0,(주)세아메탈,D2023030131,049,8100,2023-04-13,9.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-13,1,2,1,,,2023-01-31,1,A,A,8301,2023-02-01,2023-04-15,N,W
202304,S53406,B320669800,9Y01,압연,산세,T,7730,SSH,SSH034,"1,571","1,360",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,9.5,9.5,0,(주)세아메탈,D2023030131,049,8100,2023-04-13,9.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-13,1,4,3,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-15,N,W
202304,S53405,B330728900,9W91,압연,산세,T,7730,SSH,SSH034,"1,579",0,STS303FS8,STS303FS8,,W,WR,DM,PK,SL,10,10,0,(주)세아메탈,D2023040204,038,8100,2023-04-14,10,0,,,0,0,,,0,0,,,0,0,8100,2023-04-14,1,4,2,,,2023-02-27,1,A,A,8301,2023-03-02,2023-04-15,N,W
202304,S53406,B320669204,9Y01,압연,산세,T,7730,SSH,SSH034,"1,604","1,451",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,6.5,6.5,0,(주)세아특수강,D2023040197,009,8100,2023-04-10,6.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-10,1,4,3,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-17,N,W
202304,S53406,B320669506,9Y01,압연,산세,T,7730,SSH,SSH034,"1,606","1,427",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,8.5,8.5,0,주식회사 티플랙스,D2023040215,001,8100,2023-04-12,8.5,0,,,0,0,,,0,0,,,0,0,8100,2023-04-12,1,4,3,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-17,N,W
202304,S53406,B320669700,9Y01,압연,산세,T,7730,SSH,SSH034,"1,599","1,416",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,9,9,0,만호제강(주)창원공장,D2023040182,001,8100,2023-04-12,9,0,,,0,0,,,0,0,,,0,0,8100,2023-04-12,1,4,3,,,2023-02-27,1,A,A,8301,2023-03-01,2023-04-17,N,W
202309,S54744,B360578304,9Y01,압연,산세,T,7730,SSH,SSH034,"1,610","1,447",STS303FS8,STS303FS8,,W,WR,AE,PK,SL,8.5,8.5,0,주식회사 티플랙스,D2023090144,002,8100,2023-09-12,8.5,0,,,0,0,,,0,0,,,0,0,8100,2023-09-12,1,3,1,,,2023-06-26,1,A,A,8301,2023-06-28,2023-09-21,N,W
202303,S53080,B310646301,9Y01,압연,산세,T,7730,SSH,SSH034,"1,607","1,398",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,8.5,8.5,0,(주)세아메탈,D2023030131,048,8100,2023-03-16,8.5,0,,,0,0,,,0,0,,,0,0,8100,2023-03-16,1,2,1,,,2023-01-31,1,D,D,8301,2023-02-01,2023-04-03,N,W
202303,S53080,B310646400,9Y01,압연,산세,T,7730,SSH,SSH034,"1,585","1,370",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,8.5,8.5,0,(주)세아메탈,D2023030131,048,8100,2023-03-16,8.5,0,,,0,0,,,0,0,,,0,0,8100,2023-03-16,1,2,1,,,2023-01-31,1,A,A,8301,2023-02-01,2023-04-03,N,W
