년월일,업무구분,공장구분,HEAT_NO,LOT_NO,PON,공정순위,주조구분,강종그룹,강종코드,사내강종명,구)사내강종명,강종,품목,형상,용도,표면,열처리,폭,외경,내경,수요가,수요가명,수주번호,수주행번,생산의뢰번호,사내강종명(제강),주설비구분,재료코드,강관소재여부,발생일자,발생구분,발생공정,발생공정명,발생수량,발생중량,원인공정,원인공정명,이상구분,이상코드,이상코드명,이상분류,이상구분,상태코드,조치코드,조치코드명,조치일자,원인공정_작업조,출탕완료일시,주조완료일시,검사완료일시,초말구분,CAST내_수,CAST내_순,STRAND_NO,STRAND_SEQ,지시GR_종류,생산GR_종류,생산GR공정,GR_일자,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,제품압연작업조,생성일시,HCR,투입중량
2023-01-21,2,9,S52429,B2C0093863,D23W1W0380,110,T,SME,SME002,STS420FS2,S420F,SUS420F,W,WR,DM,PK,FA,6,6,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023010132,040,D23W01W0991,STS420FS2,W,7530,N,2023-01-21,3,9W91,산세,1,350,V000,소형생산실공통,2,S11,종크랙,제품불량,표면,4,JR,폐기,2023-01-21,,2022-12-01,2022-12-01,2022-12-03,,\1,\1,\5,\1,C,C,8301,2022-12-04,8100,2023-01-11,6,0,,,0,0,,,0,0,,,0,0,8100,2023-01-11,C,2023-02-02,,
2023-01-26,2,9,S52087,B2B0678102,D23W1W0381,60,T,SSM,SSM101,STS316S9,S316,SUS316,W,WR,DZ,PK,SL,8,8,,S0395,KOS LIMITED,D2023010148,002,D23W01W1646,STS316S9,W,7730,N,2023-01-12,3,9W91,산세,1,"1,588",8100,소형압연,2,S13,SEAM,제품불량,표면,4,JR,폐기,2023-01-26,D,2022-11-01,2022-11-01,2022-11-02,,\2,\2,\3,\5,,,,,8100,2023-01-12,8,0,,,0,0,,,0,0,,,0,0,8100,2023-01-12,D,2023-02-02,,
2023-01-26,2,9,S52729,B310318100,D23W1W1135,70,T,SSA,SSA162,STS304SX,S304,CSS304F,W,WR,DM,PK,SL,20,20,,20229,"DONG IL STEEL CO.,LTD.",D2023010126,010,D23W01W1298,STS304SX,C,7730,N,2023-01-26,3,9W91,산세,1,"1,574",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2023-01-26,B,2023-01-03,2023-01-03,2023-01-05,,\4,\4,\6,\1,,,,,8100,2023-01-24,20,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,B,2023-02-02,,
2023-01-26,2,9,S52725,B310258404,D22WCW1774,80,T,SSA,SSA118,STS304S5,S304,SUS304F,W,WR,DM,PF,SL,18,18,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2022120177,040,D22W12W1909,STS304S5,C,7730,N,2023-01-26,3,9W91,산세,1,125,2T00,2제강,2,S22,터짐,제품불량,표면,4,JR,폐기,2023-01-26,,2023-01-02,2023-01-03,2023-01-03,,\5,\5,\1,\6,,,,,8100,2023-01-23,18,0,,,0,0,,,0,0,,,0,0,8100,2023-01-23,B,2023-02-02,,
2023-01-26,2,9,S52725,B310258404,D22WCW1774,80,T,SSA,SSA118,STS304S5,S304,SUS304F,W,WR,DM,PF,SL,18,18,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2022120177,040,D22W12W1909,STS304S5,C,7730,N,2023-01-26,3,9W91,산세,1,125,8T00,소형압연,2,S22,터짐,제품불량,표면,4,JR,폐기,2023-01-26,,2023-01-02,2023-01-03,2023-01-03,,\5,\5,\1,\6,,,,,8100,2023-01-23,18,0,,,0,0,,,0,0,,,0,0,8100,2023-01-23,B,2023-02-02,,
2023-01-27,2,9,S52724,B310258804,D23W1W0873,90,T,SSA,SSA118,STS304S5,S304,SUS304F,W,WR,DM,PF,SL,23,23,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023010133,014,D23W01W1182,STS304S5,C,7730,N,2023-01-27,3,9W91,산세,1,155,8100,소형압연,2,D23,외경(변)미달,제품불량,치수,4,JR,폐기,2023-01-27,A,2023-01-02,2023-01-02,2023-01-04,,\5,\4,\1,\12,A,A,B301,2023-01-21,8100,2023-01-26,23,0,,,0,0,,,0,0,,,0,0,8100,2023-01-26,A,2023-02-02,,
2023-01-27,2,9,S52724,B310258608,D22WCW1776,90,T,SSA,SSA118,STS304S5,S304,SUS304F,W,WR,DM,PF,SL,23,23,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2022120193,011,D22W12W1901,STS304S5,C,7730,N,2023-01-27,3,9W91,산세,1,155,8100,소형압연,2,D23,외경(변)미달,제품불량,치수,4,JR,폐기,2023-01-27,A,2023-01-02,2023-01-02,2023-01-04,,\5,\4,\4,\6,A,A,B301,2023-01-24,8100,2023-01-26,23,0,,,0,0,,,0,0,,,0,0,8100,2023-01-26,A,2023-02-02,,
2023-01-27,2,9,S52383,B2B0683902,D23W1W1130,70,T,SSA,SSA162,STS304SX,S304,304,W,WR,DM,PK,SL,17,17,,S0808,TPLEX.CO.Ltd.,D2023010212,015,D23W01W1972,STS304SX,C,7730,N,2023-01-27,3,9W91,산세,1,200,8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2023-01-27,A,2022-11-28,2022-11-28,2022-12-01,,\4,\1,\6,\14,,,,,8100,2023-01-23,17,0,,,0,0,,,0,0,,,0,0,8100,2023-01-23,A,2023-02-02,,
2023-01-27,2,9,S52725,B310187201,E23W1W0221,70,T,SSA,SSA118,STS304S5,S304,SUS304,W,WR,DM,PK,SL,14,14,,S1394,MORY INDUSTRIES INC,E2023010032,004,E23W01W0104,STS304S5,W,7730,N,2023-01-27,3,9W91,산세,1,180,2Z00,2제강,2,S73,표면침식(POWDER 내화물),제품불량,표면,4,JR,폐기,2023-01-27,,2023-01-02,2023-01-03,2023-01-03,,\5,\5,\6,\3,,,,,8100,2023-01-21,14,0,,,0,0,,,0,0,,,0,0,8100,2023-01-21,D,2023-02-02,,
2023-01-27,2,9,S52730,B310156501,D23W1W0573,90,T,SSA,SSA162,STS304SX,S304,CSS304FS,W,WR,DM,PF,SL,15.5,15.5,,S1065,SEAH METAL CO. LTD,D2023010095,074,D23W01W1191,STS304SX,C,7730,N,2023-01-27,3,9W91,산세,1,155,8100,소형압연,2,S11,종크랙,제품불량,표면,4,JR,폐기,2023-01-27,B,2023-01-03,2023-01-03,2023-01-06,,\3,\1,\6,\8,A,A,8301,2023-01-12,8100,2023-01-21,15.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-21,B,2023-02-02,,
