년월일,업무구분,공장구분,HEAT_NO,LOT_NO,PON,공정순위,주조구분,재료코드,강종그룹,강종코드,사내강종명,사내강종명(제강),구)사내강종명,강종,품목,형상,용도,표면,열처리,외경,폭,내경,수요가,수요가명,수주번호,수주행번,생산의뢰번호,강관소재여부,발생일자,발생구분,발생공정,발생공정명,발생수량,발생중량,원인공정,원인공정명,이상구분,이상코드,이상코드명,이상분류,이상구분,상태코드,조치코드,조치코드명,조치일자,원인공정_작업조,출탕완료일시,주조완료일시,검사완료일시,초말구분,CAST내_수,CAST내_순,STRAND_NO,STRAND_SEQ,지시GR_종류,생산GR_종류,생산GR공정,GR_일자,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,제품압연작업조,생성일시,HCR,투입중량,주설비구분
2022-06-21,2,9,S50115,B240823900,D22W6W1258,90,T,6830,SSA,SSA162,STS304SX,STS304SX,S304,304,W,WR,DM,PF,SL,26,26,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2022060236,001,D22W06W1919,N,2022-06-21,3,9W91,산세,1,120,8100,소형압연,2,H11,OVER FILLED,제품불량,형상,4,JR,폐기,2022-06-21,C,2022-04-28,2022-04-28,2022-04-29,,\6,\2,,,C,C,8301,2022-06-19,8100,2022-06-20,26,0,,,0,0,,,0,0,,,0,0,8100,2022-06-20,C,2022-07-04,,,C
2022-06-26,2,9,S49824,B240817803,D22W6W0806,80,T,6830,SSM,SSM202,316LDSZ,316LDSZ,,PSS316/316L,W,WR,DM,PK,SL,17,17,,20229,"DONG IL STEEL CO.,LTD.",D2022060217,002,D22W06W0837,N,2022-06-26,3,9W91,산세,1,300,2T00,2제강,2,S22,터짐,제품불량,표면,4,JR,폐기,2022-06-26,,2022-04-04,2022-04-05,2022-04-06,F,\5,\1,,,D,D,8301,2022-06-12,8100,2022-06-16,17,0,,,0,0,,,0,0,,,0,0,8100,2022-06-16,D,2022-07-04,,,C
2022-06-26,2,9,S49824,B240817803,D22W6W0806,80,T,6830,SSM,SSM202,316LDSZ,316LDSZ,,PSS316/316L,W,WR,DM,PK,SL,17,17,,20229,"DONG IL STEEL CO.,LTD.",D2022060217,002,D22W06W0837,N,2022-06-26,3,9W91,산세,1,300,8T00,소형압연,2,S22,터짐,제품불량,표면,4,JR,폐기,2022-06-26,,2022-04-04,2022-04-05,2022-04-06,F,\5,\1,,,D,D,8301,2022-06-12,8100,2022-06-16,17,0,,,0,0,,,0,0,,,0,0,8100,2022-06-16,D,2022-07-04,,,C
2022-02-26,2,9,S49249,B220250200,D22W2W1318,80,T,6830,SSJ,SSJ016,STS304HCS5,STS304HCS5,S304HC,SUS304HC,W,WR,DH,PK,SL,26,26,,S1065,SEAH METAL CO. LTD,D2022020223,041,D22W02W2078,N,2022-02-26,3,9W91,산세,1,250,2Z00,2제강,2,S11,종크랙,제품불량,표면,4,JR,폐기,2022-02-26,,2022-02-16,2022-02-16,2022-02-16,,\3,\3,\4,\12,A,A,8301,2022-02-21,8100,2022-02-22,26,0,,,0,0,,,0,0,,,0,0,8100,2022-02-22,C,2022-03-03,,,C
2022-02-28,2,9,S49168,B220203800,E22W2W0443,90,T,6830,SSH,SSH030,STS303S1,STS303S1,S303,AISI303,W,WR,DM,PK,SL,26,26,,S0494,MARCEGAGLIA S.P.A,E2022020125,004,E22W02W0555,N,2022-02-28,3,9W91,산세,1,75,2T00,2제강,2,S22,터짐,제품불량,표면,4,JR,폐기,2022-02-28,,2022-02-11,2022-02-11,2022-02-11,,\5,\4,\4,\9,A,A,8301,2022-02-22,8100,2022-02-23,26,0,,,0,0,,,0,0,,,0,0,8100,2022-02-23,D,2022-03-03,,,C
2022-02-28,2,9,S49168,B220203800,E22W2W0443,90,T,6830,SSH,SSH030,STS303S1,STS303S1,S303,AISI303,W,WR,DM,PK,SL,26,26,,S0494,MARCEGAGLIA S.P.A,E2022020125,004,E22W02W0555,N,2022-02-28,3,9W91,산세,1,75,8T00,소형압연,2,S22,터짐,제품불량,표면,4,JR,폐기,2022-02-28,,2022-02-11,2022-02-11,2022-02-11,,\5,\4,\4,\9,A,A,8301,2022-02-22,8100,2022-02-23,26,0,,,0,0,,,0,0,,,0,0,8100,2022-02-23,D,2022-03-03,,,C
2022-06-30,2,9,S50337,B250796702,D22W6W1301,102,T,6830,SSG,SSG011,STS303CS9,STS303CS9,S303C,SUS303C,W,WR,DM,PK,SL,32,32,,S0808,TPLEX.CO.Ltd.,D2022060275,015,D22W06W2126,N,2022-06-30,3,9W91,산세,1,300,2Z00,2제강,2,S41,줄파임,제품불량,표면,4,JR,폐기,2022-06-30,,2022-05-14,2022-05-14,2022-05-15,,\2,\1,,,A,A,8301,2022-06-18,8100,2022-06-22,32,0,,,0,0,,,0,0,,,0,0,8100,2022-06-22,A,2022-07-04,,,C
2022-06-21,2,9,S50115,B240824004,D22W6W1258,90,T,6830,SSA,SSA162,STS304SX,STS304SX,S304,304,W,WR,DM,PF,SL,26,26,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2022060236,001,D22W06W1919,N,2022-06-21,3,9W91,산세,1,120,8100,소형압연,2,H11,OVER FILLED,제품불량,형상,4,JR,폐기,2022-06-21,A,2022-04-28,2022-04-28,2022-04-29,,\6,\2,\4,\2,C,C,8301,2022-06-19,8100,2022-06-20,26,0,,,0,0,,,0,0,,,0,0,8100,2022-06-20,A,2022-07-04,,,C
2022-06-21,2,9,S50115,B240824003,D22W6W1258,90,T,6830,SSA,SSA162,STS304SX,STS304SX,S304,304,W,WR,DM,PF,SL,26,26,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2022060236,001,D22W06W1919,N,2022-06-21,3,9W91,산세,1,220,8100,소형압연,2,H11,OVER FILLED,제품불량,형상,4,JR,폐기,2022-06-21,A,2022-04-28,2022-04-28,2022-04-29,,\6,\2,\6,\4,C,C,8301,2022-06-19,8100,2022-06-20,26,0,,,0,0,,,0,0,,,0,0,8100,2022-06-20,A,2022-07-04,,,C
2022-06-21,2,9,S50115,B240824103,D22W6W1258,90,T,6830,SSA,SSA162,STS304SX,STS304SX,S304,304,W,WR,DM,PF,SL,26,26,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2022060236,001,D22W06W1919,N,2022-06-21,3,9W91,산세,1,100,8100,소형압연,2,H11,OVER FILLED,제품불량,형상,4,JR,폐기,2022-06-21,A,2022-04-28,2022-04-28,2022-04-29,,\6,\2,,,C,C,8301,2022-06-19,8100,2022-06-20,26,0,,,0,0,,,0,0,,,0,0,8100,2022-06-20,A,2022-07-04,,,C
