Time;[110:2];[110:10];[112:28];[112:29];[6.0]
09.03.2025 14:00:33.929376;9.69245;0;408;1;0
09.03.2025 14:00:34.029376;9.22647;0;408;1;0
09.03.2025 14:00:34.129376;10.1584;0;408;1;0
09.03.2025 14:00:34.229376;9.87884;0;408;1;0
09.03.2025 14:00:34.329376;9.78565;0;408;1;0
09.03.2025 14:00:34.429376;9.59925;0;408;1;0
09.03.2025 14:00:34.529376;9.97204;0;408;1;0
09.03.2025 14:00:34.629376;10.904;0;408;1;0
09.03.2025 14:00:34.729376;10.5312;0;408;1;0
09.03.2025 14:00:34.829376;10.1584;0;408;1;0
09.03.2025 14:00:34.929376;10.438;0;408;1;0
09.03.2025 14:00:35.029376;10.2516;0;408;1;0
09.03.2025 14:00:35.129376;9.41286;0;408;1;0
09.03.2025 14:00:35.229376;9.41286;0;408;1;0
09.03.2025 14:00:35.329376;9.50606;0;408;1;0
09.03.2025 14:00:35.429376;9.69245;0;408;1;0
09.03.2025 14:00:35.529376;9.31966;0;408;1;0
09.03.2025 14:00:35.629376;9.59925;0;408;1;0
09.03.2025 14:00:35.729376;10.0652;0;408;1;0
09.03.2025 14:00:35.829376;10.5312;0;408;1;0
09.03.2025 14:00:35.929376;11.0904;0;408;1;0
09.03.2025 14:00:36.029376;10.6244;0;408;1;0
09.03.2025 14:00:36.129376;11.37;0;408;1;0
09.03.2025 14:00:36.229376;11.5564;0;408;1;0
09.03.2025 14:00:36.329376;11.0904;0;408;1;0
09.03.2025 14:00:36.429376;11.0904;0;408;1;0
09.03.2025 14:00:36.529376;11.2768;0;408;1;0
09.03.2025 14:00:36.629376;10.904;0;408;1;0
09.03.2025 14:00:36.729376;10.7176;0;408;1;0
09.03.2025 14:00:36.829376;10.9972;0;408;1;0
09.03.2025 14:00:36.929376;11.0904;0;408;1;0
09.03.2025 14:00:37.029376;10.5312;0;408;1;0
09.03.2025 14:00:37.129376;10.7176;0;408;1;0
09.03.2025 14:00:37.229376;10.6244;0;408;1;0
09.03.2025 14:00:37.329376;9.87884;0;408;1;0
09.03.2025 14:00:37.429376;10.6244;0;408;1;0
09.03.2025 14:00:37.529376;10.0652;0;408;1;0
09.03.2025 14:00:37.629376;9.97204;0;408;1;0
09.03.2025 14:00:37.729376;10.1584;0;408;1;0
09.03.2025 14:00:37.829376;10.3448;0;408;1;0
09.03.2025 14:00:37.929376;9.97204;0;408;1;0
09.03.2025 14:00:38.029376;9.69245;0;408;1;0
09.03.2025 14:00:38.129376;9.97204;0;408;1;0
09.03.2025 14:00:38.229376;10.1584;0;408;1;0
09.03.2025 14:00:38.329376;9.69245;0;408;1;0
09.03.2025 14:00:38.429376;8.85368;0;408;1;0
09.03.2025 14:00:38.529376;9.69245;0;408;1;0
09.03.2025 14:00:38.629376;9.78565;0;408;1;0
09.03.2025 14:00:38.729376;10.1584;0;408;1;0
09.03.2025 14:00:38.829376;10.2516;0;408;1;0
09.03.2025 14:00:38.929376;10.6244;0;408;1;0
09.03.2025 14:00:39.029376;10.2516;0;408;1;0
09.03.2025 14:00:39.129376;10.6244;0;408;1;0
09.03.2025 14:00:39.229376;10.8108;0;408;1;0
09.03.2025 14:00:39.329376;10.1584;0;408;1;0
09.03.2025 14:00:39.429376;9.50606;0;408;1;0
09.03.2025 14:00:39.529376;9.78565;0;408;1;0
09.03.2025 14:00:39.629376;9.41286;0;408;1;0
09.03.2025 14:00:39.729376;8.85368;0;408;1;0
09.03.2025 14:00:39.829376;9.69245;0;408;1;0
09.03.2025 14:00:39.929376;9.87884;0;408;1;0
09.03.2025 14:00:40.029376;10.3448;0;408;1;0
09.03.2025 14:00:40.129376;10.5312;0;408;1;0
09.03.2025 14:00:40.229376;10.9972;0;408;1;0
09.03.2025 14:00:40.329376;10.438;0;408;1;0
09.03.2025 14:00:40.429376;11.0904;0;408;1;0
09.03.2025 14:00:40.529376;11.2768;0;408;1;0
09.03.2025 14:00:40.629376;10.8108;0;408;1;0
09.03.2025 14:00:40.729376;10.9972;0;408;1;0
09.03.2025 14:00:40.829376;10.9972;0;408;1;0
09.03.2025 14:00:40.929376;10.5312;0;408;1;0
09.03.2025 14:00:41.029376;9.78565;0;408;1;0
09.03.2025 14:00:41.129376;9.69245;0;408;1;0
09.03.2025 14:00:41.229376;9.78565;0;408;1;0
09.03.2025 14:00:41.329376;9.97204;0;408;1;0
09.03.2025 14:00:41.429376;9.41286;0;408;1;0
09.03.2025 14:00:41.529376;10.1584;0;408;1;0
09.03.2025 14:00:41.629376;10.2516;0;408;1;0
09.03.2025 14:00:41.729376;9.78565;0;408;1;0
